language=简体中文
locales=zh-hans
fallback=English
disableHyphenationCheck=true

# 1) To get started, navigate to the game's directory. There should be a folder StreamingAssets/Mods/kubi.example.localization.
# 2) Make a copy of this folder and give it a new name, e.g. "yourname.language.localization".
# 3) Open the ModInfo.xml in the folder, enter the mod name and description and your name (if you like).
# 4) When starting the game, the new language should be available in the settings. 
# 5) Whenever you start the game with a new translation file, it will automatically create a list of the missing translation lines. This is both useful to get started and to keep the translation up-to-date when new strings get added. The file can be found in C:\Users\<username>\AppData\LocalLow\MirkoStudio\Kubifaktorium\Missing_<language>.txt on Windows or ~/.config/unity3d/MirkoStudio/Kubifaktorium/ on Linux.

# The general format of the localization file for each line is <key>=<value>, for example "UI.BuildTrain=Build train". The <key> must not be changed, the <value> is to be translated, so e.g. "UI.BuildTrain=Baue Zug".
# A line starting with "#" is ignored and can be used for comments.
# The line "fallback=English" specifies which language to use when a certain string cannot be found. Usually English is a good choice as it is usually the most up-to-date but other languages can be chosen if they are closer to the target language.
# The game supports hyphenation for languages with long strings like German. To use it, use the "_" character to insert a soft hyphen at the spots where a word can be hyphenated. I recommend this for words longer than 12-15 characters. For example: "Recommen_dations" or "trans_portation".
# A string in the format "#<id>#" causes an icon to be inserted, e.g. "#sun#". Note that the id must not be translated, otherwise it will not be found and translated correctly.
# A string in the format "##<id>" creates a keyword. Keywords like "##daytime" will be translated to an underlined word "daytime". In addition, an explanation will be added underneath, usually in the tooltips. Again, the id must not be translated. However, the explanation text (the lines with keys like ##idle), should.
# Strings like "$1", "$2" etc are placeholders for numbers and other things which will be filled by the game. For example "Growth rate at daytime: $1%" will become "Growth rate at daytime: 75%" at runtime.
# If required for some reason, you can use <br> to create a line break. However I recommend not using it.

### Thank you for your help!! :)


##Automated = #Power#自动化
##Automated.Desc = #Power#自动化：自动化建筑无需你的殖民者操作也可工作，但需要电力来运转。
##automatically = #Power#自动化的
##automatically.Desc = #Power#自动化：自动化建筑在不需要居民操作的情况下也能工作，但需要电力才能运转。
##cargoship = #Refine#货船
"##cargoship.Desc =  #Refine# 货船：出口多余的货物并进口需要的资源。如要出口货物，把存储区连接至货船港口
如要进口货物，把货船港口连接至库存并设置一些允许被进口的货物。"
##carriage = 马车
##carriage.Desc = 马车会自动在相连的驿站之间运输货物，选择一个车站并用鼠标右键点击另一个车站来连接他们。
##day = #sun#白天
##day.Desc = #sun#白天： 6:00 至 18:00 的时间段。
##decoration = #House#装饰品
##decoration.Desc = #House#装饰品：放置装饰品会让你的殖民者更加开心和更加效率。
##depot = 仓库
##depot.Desc = 仓库：用来储存并分配货物，用机械臂来提取或放入货物。
##drink = 饮品
##drink.Desc = 饮品：当口渴时，殖民者会自动找一些东西来喝，提供饮品会让他们更加开心和更加效率。
##farmzone = #Farm#农场
##farmzone.Desc = #Farm#农场区：可以分配在肥沃的土地上，让殖民者种植一些农作物。
##food = 食物
##food.Desc = 食物：当殖民者饥饿时会自动寻找食物进食。提供他们食物将会更加开心和更加效率。
##grovezone = #Grove# 林场
##grovezone.Desc = #Grove#林场：可以分配在肥沃的土壤上，让你的殖民者种植树木。
##happiness = #Happy#幸福
##happiness.Desc = #Happy#幸福：一个殖民者是否幸福影响着他或她的行走速度和工作效率。
##house = 房屋
##house.Desc = 房屋：殖民者和动物们拥有房屋后，他们会更幸福和更有效率。
##idle = #Idle# 空闲
##idle.Desc = #Idle# 空闲：你可以在殖民者管理界面来管理殖民者的工作。
##keycycle = #controller# 高低
##keycycle.Desc = #controller# 高低：鼠标的中键 或 'V'键。
##keyrotate = #controller# 旋转
##keyrotate.Desc = #controller# 旋转：鼠标的4和5键 或 'R'键。
##logsys = #Logistics# 物流系统
##logsys.Desc = #Logistics# 物流系统：当火车和仓库完成运输连接。设置好物流系统后，火车会自动完成运输工作。
##mine = #Mine# 开采
##mine.Desc = #Mine# 开采：要选择一项要开采的资源，你只需要点击开采按钮然后选中需要开采的资源。拖动鼠标框选一片区域，区域内的所有资源都会被开采。
##pasturezone = #Pasture#牧场
##pasturezone.Desc = #Pasture# 牧场区：可在肥沃土地上分配一片牧场区以聚集并驯养中立动物。
##power = #Power#发电
##power.Desc = #Power#发电：用发电机生产电力。
##productiontarget = 库存目标
##productiontarget.Desc = 库存目标：用岛上生产的产品完成库存目标。
##robot = 机器人
##robot.Desc = 机器人：可以完成简单的任务. 不会提升##技能 , 需要油才能行动,可以设定为多种行动模式。
##ship = #Compass# 船
##ship.Desc = #Compass# 船：将你带到这座岛上的船可以在岛屿之间运送物品。
##skill = #People# 技能
##skill.Desc = #People# 技能：每个殖民者精通的技能都有所不同，且每种技能熟练度也有高低之分，通过工作来提高技能,熟练度越高，效率越快。
##social = #Chat# 社交
##stacksize = 堆叠量
##stacksize.Desc = 堆叠：在库存和仓库中，可以在单个图块上堆叠多个相同类型的项目。
##stockpilezone = #Stockpile#存储区
##stockpilezone.Desc = #Stockpile#存储区：在踏实的地面（除自然沙地和海域）上划分区域，以便于存放工坊，农场或采矿作业的产品。
##territory = #Mountain# 领地
##territory.Desc = #Mountain# 领地：你只能在自己的领地之内建设。若要扩张领地，可以建设篝火堆,或者摧毁敌方营地。
##tool = #settings# 工具
##tool.Desc = #settings# 工具：增加居民完成任务的几率。居民会自动装备与任务相符品质最佳的工具。
##water = 水
##water.Desc = 水：农场的农作物需要浇水才能生长。
##weight = 重量
##weight.Desc = 重量：你的殖民者负重时会影响速度。
##zone = #star#区域
##zone.Desc = #star#区域：殖民者可以指派到一个或更多区域中. 他们只会在指派的区域中工作。
ActorState.BadDecoration = 没有装饰
ActorState.Drinkvariety.High = 名贵饮品
ActorState.Drinkvariety.Low = 普通饮品
ActorState.Foodvariety.High = 豪华大餐
ActorState.Foodvariety.Low = 清淡食品
ActorState.GoodDecoration = 装饰很棒
ActorState.Hasdrunk = 最近喝过水
ActorState.Hasinteracted = 互动交流
ActorState.Housed = 拥有房产
ActorState.HouseQuality.High = 豪华别墅
ActorState.HouseQuality.Low = 普通套房
ActorState.Hungry = 饥饿
ActorState.Hurt = 重伤
ActorState.Injured = 受伤
ActorState.Nohouse = 无家可归
ActorState.Notinteracted = 孤独
ActorState.NoTool = 轻松（无装备）
ActorState.Rested = 精力充沛
ActorState.Saturated = 吃饱喝足
ActorState.Thirsty = 口渴
ActorState.Tired = 疲劳
ActorState.Total = 合计
AttackEnemyCamp.Desc = 2.）攻击敌方营地
AttackEnemyCamp.Intro = 点击敌方领土并点击攻击敌营便可以集结你的殖民者进行攻击。
AttackEnemyCamp.Outro = 提示：选择你的殖民者，看看他们使用不同的武器造成了多大的伤害。
BugReport.Cancel = 取消
BugReport.Category = 类别
BugReport.Description = 描述
BugReport.Failed = 无法发送用户报告。 请稍后再试。
BugReport.Submit = 提交
BugReport.Submitting = 提交用户报告。谢谢！！:D
BugReport.Summary = 简介
BugReport.Title = 提交错误报告
BuildAutoTrain.Desc = 2.）制造一列火车
BuildAutoTrain.Intro = 使用火车工厂制造火车。
BuildCircleTrain1.Desc = 制造火车（1/4）
BuildCircleTrain1.Intro = 使用火车工厂制造火车，并将两个火车站添加到其计划中。
BuildCircleTrain2.Desc = 制造火车（2/4）
BuildCircleTrain2.Intro = 使用火车工厂制造另一列火车，并将两个火车站添加到行程表中。
BuildCircleTrain3.Desc = 制造火车（3/4）
BuildCircleTrain3.Intro = 使用火车工厂制造另一列火车，并将两个火车站添加到行程表中。
BuildCircleTrain4.Desc = 制造火车（4/4）
BuildCircleTrain4.Intro = 使用火车工厂制造另一列火车，并将两个火车站添加到行程表中。
BuildCircleTrain4.Outro = 四列火车在这个环形火车线路上运行而不会堵塞。 这种类型的设置对于多列火车线路非常有用。
BuildCloverleaf.Desc = 制造火车
BuildCloverleaf.Intro = 使用1号火车工厂制造一些火车，并在他们的行程表中添加不同的车站。
Building.Mode = 运作模式
Building.Mode.Desc = 单击切换 运作/暂停。
Building.Mode.Disabled = 暂停运作
Building.Mode.Enabled = 正在运作
BuildingType.Actor = 成员
BuildingType.Actor.Desc = 生成殖民者，敌人和动物。
BuildingType.Decoration = 装饰
BuildingType.Decoration.Desc = 装饰品会使你的殖民地更加美观，并提高你的殖民者的幸福度。
BuildingType.Defense = 防御
BuildingType.Defense.Desc = 城墙和塔楼
BuildingType.Food = 食物和饮水
BuildingType.Food.Desc = 用来生产加工 ##food 和 ##drink 的建筑物。
BuildingType.House = 住房
BuildingType.House.Desc = 拥有 ##house 可以提高殖民者的幸福感和工作效率。
BuildingType.Item = 物品
BuildingType.Item.Desc = 物品
BuildingType.Logistics = 物流
BuildingType.Logistics.Desc = 使你实现自动化生产的建筑物和机械。
BuildingType.None = 杂项
BuildingType.None.Desc = 杂项建筑
BuildingType.Refining = 精制品
BuildingType.Refining.Desc = 建造工坊来加工处理资源。
BuildingType.Workshop = 工坊
BuildingType.Workshop.Desc = 制作 ##tool 武器和机械的工坊。
BuildPreSignalTrain1.Desc = 制造火车（1/4）
BuildPreSignalTrain1.Intro = 使用火车工厂制造火车，并将两个火车站添加到行程表中。
BuildPreSignalTrain2.Desc = 制造火车（2/4）
BuildPreSignalTrain2.Intro = 使用火车工厂制造另一列火车，并将两个火车站添加到行程表中。
BuildPreSignalTrain3.Desc = 制造火车（3/4）
BuildPreSignalTrain3.Intro = 使用火车工厂制造另一列火车，并将两个火车站添加到行程表中。
BuildPreSignalTrain4.Desc = 制造火车（4/4）
BuildPreSignalTrain4.Intro = 使用火车工厂制造另一列火车，并将两个火车站添加到行程表中。
BuildPreSignalTrain4.Outro = 预警信号可以防止你的火车因线路交叉而被堵在轨道上。
BuildTrain.Desc = 3.）制造一列火车
BuildTrain.Intro = 使用火车工厂制造火车（4）。
CargoShip.State.ENTERHARBOUR = 进入货船港口
CargoShip.State.LEAVE = 离开货船港口
CargoShip.State.UNLOAD = 卸货
Carriage.Schedule = 运输行程表：
Carriage.Schedule.UI = 车站
Carriage.Schedule.UI.Desc = 如果要制定新的行程站点，请左键选择载具并右键单击新站点 。 如要删除站点，请单击在行程表中的站点。
CarriageSetupLinks.Desc = 2.) 设置连接
CarriageSetupLinks.Intro = 很好，石材现在被运到了北方的驿站，因为它是最近的。接下来，连接各个站点吧。
CarriageSetupSchedule.Desc = 3.) 设置行程表
CarriageSetupSchedule.Intro = 最后，选择马车然后右键车站将它们加入到马车的行程表里。
CarriageSetupStockpiles.Desc = 1.) 设置车站和存储区
CarriageSetupStockpiles.Intro = 石材相当沉重，因此搬运起来很耗时间。使用马匹进行长距离运送能事半功倍。将上方的驿站和下方的存储区都设置成接收石材。
ConvTutPart1.Desc = 1.) 简单设置案例
ConvTutPart1.Intro = 该案例展示了地面传送带该如何使用。选择仓库的出料口并将它设置成接收铁锭。
ConvTutPart2.Desc = 2.) 分流器
