language = Spanish
locales = SP
fallback = Francais


# Spanish localization Salvoxea 
# Kubifaktorium.v11.7.2022


MainMenu.NewCampaign  = Nueva campaña
MainMenu.ResumeCampaign  =  Continuar
MainMenu.PlayTutorial  =  Tutoriales
MainMenu.PlayCustomMap  =  Personalizar
MainMenu.Settings  =  Configuración
MainMenu.Mods  =  Mods
MainMenu.ExitGame  =  Salir
MainMenu.LoadGame  =  Cargar
Settings.DOF  =  Profundidad de Campo
ActorState.BadDecoration  =  Sin decoración
ActorState.Drinkvariety.High  =  Amplia variedad de bebidas
ActorState.Drinkvariety.Low  =  Poca variedad de bebidas
ActorState.Foodvariety.High  =  Amplia variedad de comida
ActorState.Foodvariety.Low  =  Poca variedad de alimentos
ActorState.GoodDecoration  =  Decoración disponible
ActorState.Hasdrunk  =  Ha estado bebiendo recientemente
ActorState.Hasinteracted  =  Tuvo una interacción social
ActorState.Housed  =  Alojado
ActorState.HouseQuality.High  =  Casa alta calidad
ActorState.HouseQuality.Low  =  Casa baja calidad
ActorState.Hungry  =  Hambriento
ActorState.Hurt  =  Gravemente herido
ActorState.Injured  =  Lesionado
ActorState.Nohouse  =  Sin casa
ActorState.Notinteracted  =  Solitario
ActorState.Rested  =  Bien descansado
ActorState.Saturated  =  Satisfecho
ActorState.Thirsty  =  Sediento
ActorState.Tired  =  Cansado
ActorState.Total  =  Total
##Automated  =  Automa_tizado
##Automated.Desc  =  Automa_tización: Los edificios automatizados funcionarán sin ser operados por sus colonos, pero requieren energía para funcionar.
##automatically  =  Automáti_camente
##automatically.Desc  =  Automati_zación: Los edificios automatizados funcionarán sin ser operados por sus colonos, pero requieren energía para funcionar.
##cargoship  =  Buque de carga
##cargoship.Desc  =  Buque de carga: Transporta mercancías automáticamente entre las islas que hayas colonizado previamente y tu colonia actual.
##day  =  Día
##day.Desc  =  Día: entre las 6:00 y 18:00
##decoration  =  Decoración
##decoration.Desc  =  Decoración: Colocar elementos decorativos hará que tus colonos sean más felices y productivos.
##depot  =  Almacén
